Station,Samples,Mean_Observed,Tuned_MAE,Tuned_RMSE,Tuned_R2,Naive_MAE,MAE_Improvement_%,Extreme_Obs_Count,Extreme_Tuned_MAE
Dwarka-Sector 8,1448,361.3,9.85,12.68,0.9492,13.26,25.7,1261,9.43
R K Puram,1415,372.2,10.9,14.23,0.9312,13.43,18.8,1280,10.6
Punjabi Bagh,1448,375.0,11.33,15.24,0.9273,13.63,16.9,1303,11.33
ITO,1422,367.5,12.14,16.64,0.9224,12.63,3.9,1236,12.21
Anand Vihar,1394,388.4,12.66,16.7,0.9084,12.56,-0.8,1285,12.88
Bawana,1448,392.8,12.89,17.55,0.8664,11.91,-8.2,1393,12.97
Jahangirpuri,1423,394.0,13.13,18.1,0.8884,11.63,-12.9,1357,13.16
