,Pred_Good,Pred_Satisfactory,Pred_Moderate,Pred_Poor,Pred_Very Poor,Pred_Severe
True_Good,0,0,0,0,0,0
True_Satisfactory,0,0,6,0,0,0
True_Moderate,0,5,30,8,0,0
True_Poor,0,0,15,735,102,0
True_Very Poor,0,0,0,124,4742,152
True_Severe,0,0,0,0,686,3393
