cost_ratio_fn_to_fp,ratio_val,optimal_threshold,threshold_shift_vs_401,optimal_recall,optimal_precision,optimal_f1,optimal_fpr,optimal_fnr_miss_rate,optimal_tp,optimal_fp,optimal_fn,optimal_tn,optimal_cost_rate,cpcb_401_cost_rate,cost_rate_reduction_pct,optimal_cost_sample,cpcb_401_cost_sample,cost_sample_reduction_pct
1:1,1.0,385.5,-15.5,0.7547778605112931,0.6667397500548126,0.708032596041909,0.2633858949922024,0.2452221394887069,3041.0,1520.0,988.0,4251.0,0.5086080344809093,0.5401055052308985,5.831725550829896,0.2559183673469388,0.24887755102040815,-2.8290282902829142
2:1,2.0,349.0,-52.0,0.9379498634896997,0.5656338871426433,0.7056956115779646,0.502859123202218,0.06205013651030032,3779.0,2902.0,250.0,2869.0,0.6269593962228187,0.9292839614235021,32.53306607568848,0.34714285714285714,0.4088775510204082,15.098577489393566
3:1,3.0,348.5,-52.5,0.9389426656738645,0.5644583706356312,0.7050601062342746,0.5058048865014729,0.06105733432613552,3783.0,2919.0,246.0,2852.0,0.6889768894798795,1.318462417616106,47.74391137173183,0.3731632653061224,0.5688775510204082,34.40358744394619
5:1,5.0,341.5,-59.5,0.9570613055348722,0.5432516201746971,0.6930888828974566,0.5617743891873159,0.042938694465127825,3856.0,3242.0,173.0,2529.0,0.776467861512955,2.096819330001313,62.969252982207635,0.4190816326530612,0.8888775510204082,52.85271495809896
10:1,10.0,324.5,-76.5,0.9806403574087863,0.4957340025094103,0.6585548795732977,0.696413099982672,0.0193596425912137,3951.0,4019.0,78.0,1752.0,0.890009525894809,4.04271161096433,77.98483761540166,0.4896938775510204,1.6888775510204082,71.0047731254909
20:1,20.0,272.5,-128.5,0.998758997269794,0.42854100106496273,0.599746627915642,0.929821521400104,0.0012410027302060065,4024.0,5366.0,5.0,405.0,0.9546415760042242,7.934496172890366,87.96846636254071,0.5577551020408164,3.2888775510204082,83.0411715429245
