threshold,tp,fp,fn,tn,precision,recall,f1,fpr,fnr,fp_actual_vpoor,fp_actual_poor,fp_actual_mod_better,fn_pred_vpoor,fn_pred_poor,fn_pred_mod_better,cost_rate_1x,cost_sample_1x,cost_rate_2x,cost_sample_2x,cost_rate_3x,cost_sample_3x,cost_rate_5x,cost_sample_5x,cost_rate_10x,cost_sample_10x,cost_rate_20x,cost_sample_20x
200.0,4029,5741,0,30,0.41238485158648924,1.0,0.5839553590839917,0.9948015941777855,0.0,4892,800,49,0,0,0,0.9948015941777855,0.5858163265306122,0.9948015941777855,0.5858163265306122,0.9948015941777855,0.5858163265306122,0.9948015941777855,0.5858163265306122,0.9948015941777855,0.5858163265306122,0.9948015941777855,0.5858163265306122
200.5,4029,5740,0,31,0.4124270652062647,1.0,0.5839976808233077,0.9946283139837117,0.0,4891,800,49,0,0,0,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857
201.0,4029,5740,0,31,0.4124270652062647,1.0,0.5839976808233077,0.9946283139837117,0.0,4891,800,49,0,0,0,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857
201.5,4029,5740,0,31,0.4124270652062647,1.0,0.5839976808233077,0.9946283139837117,0.0,4891,800,49,0,0,0,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857,0.9946283139837117,0.5857142857142857
202.0,4029,5739,0,32,0.41246928746928746,1.0,0.5840400086975429,0.9944550337896378,0.0,4890,800,49,0,0,0,0.9944550337896378,0.5856122448979592,0.9944550337896378,0.5856122448979592,0.9944550337896378,0.5856122448979592,0.9944550337896378,0.5856122448979592,0.9944550337896378,0.5856122448979592,0.9944550337896378,0.5856122448979592
202.5,4029,5738,0,33,0.41251151837821237,1.0,0.5840823427080313,0.994281753595564,0.0,4890,799,49,0,0,0,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327
203.0,4029,5738,0,33,0.41251151837821237,1.0,0.5840823427080313,0.994281753595564,0.0,4890,799,49,0,0,0,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327
203.5,4029,5738,0,33,0.41251151837821237,1.0,0.5840823427080313,0.994281753595564,0.0,4890,799,49,0,0,0,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327,0.994281753595564,0.5855102040816327
204.0,4029,5737,0,34,0.41255375793569526,1.0,0.5841246828561073,0.9941084734014902,0.0,4889,799,49,0,0,0,0.9941084734014902,0.5854081632653061,0.9941084734014902,0.5854081632653061,0.9941084734014902,0.5854081632653061,0.9941084734014902,0.5854081632653061,0.9941084734014902,0.5854081632653061,0.9941084734014902,0.5854081632653061
204.5,4029,5736,0,35,0.41259600614439323,1.0,0.5841670291431057,0.9939351932074164,0.0,4888,799,49,0,0,0,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796
205.0,4029,5736,0,35,0.41259600614439323,1.0,0.5841670291431057,0.9939351932074164,0.0,4888,799,49,0,0,0,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796
205.5,4029,5736,0,35,0.41259600614439323,1.0,0.5841670291431057,0.9939351932074164,0.0,4888,799,49,0,0,0,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796,0.9939351932074164,0.5853061224489796
206.0,4029,5735,0,36,0.4126382630069644,1.0,0.5842093815703617,0.9937619130133426,0.0,4887,799,49,0,0,0,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653
206.5,4029,5735,0,36,0.4126382630069644,1.0,0.5842093815703617,0.9937619130133426,0.0,4887,799,49,0,0,0,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653
207.0,4029,5735,0,36,0.4126382630069644,1.0,0.5842093815703617,0.9937619130133426,0.0,4887,799,49,0,0,0,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653
207.5,4029,5735,0,36,0.4126382630069644,1.0,0.5842093815703617,0.9937619130133426,0.0,4887,799,49,0,0,0,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653,0.9937619130133426,0.585204081632653
208.0,4029,5734,0,37,0.4126805285260678,1.0,0.5842517401392111,0.9935886328192688,0.0,4887,798,49,0,0,0,0.9935886328192688,0.5851020408163266,0.9935886328192688,0.5851020408163266,0.9935886328192688,0.5851020408163266,0.9935886328192688,0.5851020408163266,0.9935886328192688,0.5851020408163266,0.9935886328192688,0.5851020408163266
