,Pred_Good,Pred_Satisfactory,Pred_Moderate,Pred_Poor,Pred_Very Poor,Pred_Severe
True_Good,0,0,0,0,0,0
True_Satisfactory,0,5,1,0,0,0
True_Moderate,0,1,40,2,0,0
True_Poor,0,0,1,878,13,0
True_Very Poor,0,0,0,29,4966,33
True_Severe,0,0,0,0,67,4021
