horizon,macro_f1,weighted_f1,macro_precision,macro_recall,weighted_kappa,ordinal_mae,severe_f1,severe_recall,severe_precision,vpoor_plus_recall,critical_miss_rate
1h,0.9446291997245366,0.9853933615953147,0.9455233249887802,0.9438300890048966,0.9827462241511361,0.014616684896092275,0.9877180054040776,0.9836105675146771,0.9918598914652196,0.9968187801667397,0.0
6h,0.6565315913147896,0.8900288951201593,0.6501226776009406,0.6674340014000805,0.8663921404947873,0.10982196439287857,0.890083945435467,0.8318215248835499,0.9571227080394923,0.9863691326811037,0.0
24h,0.338638572765346,0.6399721164558415,0.3407665516447822,0.3405007477539913,0.5177677522465309,0.3710204081632653,0.6686591495720691,0.6108215438073964,0.7385954381752701,0.9321560299541746,0.0
