Station,Samples,Mean_Observed,Tuned_MAE,Tuned_RMSE,Tuned_R2,Naive_MAE,MAE_Improvement_%,Extreme_Obs_Count,Extreme_Tuned_MAE
Dwarka-Sector 8,1453,360.9,1.44,2.04,0.9987,2.4,40.0,1261,1.41
R K Puram,1425,371.9,1.84,3.43,0.996,2.49,26.1,1285,1.9
Punjabi Bagh,1453,374.5,2.1,4.79,0.9929,2.56,18.0,1303,2.2
ITO,1432,366.8,2.21,5.22,0.9925,2.44,9.4,1236,2.2
Bawana,1453,392.4,2.67,5.73,0.9859,2.31,-15.6,1393,2.71
Anand Vihar,1408,388.1,2.83,6.1,0.9879,2.36,-19.9,1294,2.94
Jahangirpuri,1433,393.4,2.92,6.72,0.9848,2.24,-30.4,1362,2.98
