Model,Split,Horizon,MAE,RMSE,R2,MAPE (%),Extr. MAE (>=300),Extr. RMSE (>=300),N_Samples
LightGBM Tuned,Test,1h,2.29,5.08,0.9919,0.58,2.35,5.24,10057
LightGBM Regressor,Test,1h,2.34,5.16,0.9917,0.6,2.4,5.33,10057
Naive Persistence,test,1h,2.4,3.82,0.9955,0.68,2.26,3.61,10057
XGBoost Regressor,Test,1h,3.39,7.61,0.9819,0.82,3.57,7.94,10057
Ridge Regression,Test,1h,3.87,5.61,0.9902,1.02,3.94,5.72,10057
24h Moving Average,test,1h,21.47,28.69,0.7426,6.16,20.08,26.42,10002
24h Seasonal Persistence,test,1h,39.92,52.7,0.1349,11.53,36.67,47.66,9920
