date,station_name,aqi,pm25,pm10,so2,no2,temp,wind_speed,humidity
2025-10-06,Anand Vihar,190.41666666666666,43.0,107.70833333333333,66.10227272727273,20.690833333333334,23.268333333333334,0.485,79.10416666666667
2025-10-06,Bawana,154.66666666666666,43.666666666666664,71.38095238095238,6.8975,9.220833333333333,26.98625,1.7529166666666667,83.65625
2025-10-06,Dwarka-Sector 8,138.45833333333334,24.541666666666668,67.79166666666667,15.24125,39.208333333333336,25.23875,0.8975,83.21875
2025-10-06,ITO,98.625,34.757083333333334,55.947916666666664,10.82375,67.445,,,
2025-10-06,Jahangirpuri,124.0,35.0,67.33333333333333,9.390833333333333,31.594583333333333,24.352083333333333,1.90875,85.57291666666667
2025-10-06,Punjabi Bagh,117.04166666666667,32.666666666666664,84.83333333333333,13.428,30.080833333333334,23.0675,0.7004166666666667,78.44791666666667
2025-10-06,R K Puram,123.16666666666667,38.632083333333334,70.58333333333333,7.924166666666666,41.67,19.727083333333333,0.635,87.19791666666667
2025-10-07,Anand Vihar,75.125,30.375,60.375,57.72,20.262916666666666,23.415416666666665,0.675,78.72916666666667
2025-10-07,Bawana,73.41666666666667,39.56521739130435,55.47826086956522,7.6154166666666665,12.692083333333333,27.748333333333335,1.54625,80.75
2025-10-07,Dwarka-Sector 8,54.875,17.083333333333332,50.291666666666664,12.53125,41.437916666666666,25.525833333333335,0.9575,82.59375
2025-10-07,ITO,83.25,27.8475,45.48625,13.445,66.48,,,
2025-10-07,Jahangirpuri,66.25,30.31578947368421,43.75,10.688181818181818,34.43863636363636,24.32227272727273,1.9027272727272726,87.9240909090909
2025-10-07,Punjabi Bagh,69.29166666666667,21.227272727272727,47.869565217391305,10.811666666666667,22.717083333333335,24.466666666666665,0.6858333333333333,76.79166666666667
2025-10-07,R K Puram,66.83333333333333,24.772727272727273,41.21052631578947,14.844166666666666,30.83235294117647,20.486666666666668,0.7116666666666667,84.09375
2025-10-08,Anand Vihar,90.04166666666667,55.708333333333336,120.20833333333333,20.345833333333335,23.804166666666667,23.268333333333334,0.32458333333333333,78.02083333333333
2025-10-08,Bawana,68.95833333333333,45.875,65.33333333333333,6.005,10.329166666666667,26.929583333333333,0.6154166666666666,83.84375
2025-10-08,Dwarka-Sector 8,72.08333333333333,38.17391304347826,111.1304347826087,7.729166666666667,43.92916666666667,24.976666666666667,0.6395833333333333,85.39583333333333
2025-10-08,ITO,83.83333333333333,41.9825,66.04875,10.175833333333333,67.29083333333334,,,
2025-10-08,Jahangirpuri,71.95833333333333,52.333333333333336,96.375,9.525416666666667,41.1375,24.240833333333335,1.9,85.75
2025-10-08,Punjabi Bagh,66.875,38.291666666666664,95.875,10.736666666666666,26.02,25.5175,0.3975,77.17708333333333
2025-10-08,R K Puram,57.458333333333336,44.291666666666664,79.83333333333333,18.407916666666665,42.63454545454545,19.284166666666668,0.46208333333333335,86.58333333333333
2025-10-09,Anand Vihar,116.95652173913044,40.0,137.2173913043478,42.43391304347826,23.869565217391305,24.27304347826087,0.3065217391304348,68.6413043478261
2025-10-09,Bawana,83.04347826086956,54.59090909090909,102.27272727272727,6.001304347826087,9.529565217391305,28.0,1.1117391304347826,76.6304347826087
2025-10-09,Dwarka-Sector 8,123.47826086956522,42.21739130434783,165.43478260869566,2.6,37.56260869565217,25.83608695652174,0.7226086956521739,76.23913043478261
2025-10-09,ITO,84.56521739130434,41.974782608695655,90.22826086956522,11.662608695652175,67.02434782608695,,,
2025-10-09,Jahangirpuri,108.52173913043478,59.91304347826087,145.34782608695653,11.446521739130434,41.864782608695656,25.176521739130436,1.9,75.20652173913044
2025-10-09,Punjabi Bagh,107.91304347826087,43.47826086956522,146.52173913043478,10.7,26.774545454545454,25.67681818181818,0.44272727272727275,68.02272727272727
2025-10-09,R K Puram,87.91304347826087,45.858695652173914,108.6195652173913,12.61,33.802727272727275,21.202173913043477,0.6265217391304347,77.75
2025-10-10,Anand Vihar,166.75,65.04166666666667,265.6666666666667,19.090416666666666,28.842083333333335,24.22375,0.3016666666666667,63.770833333333336
2025-10-10,Bawana,147.875,90.79166666666667,191.95833333333334,7.194166666666667,16.190416666666668,27.798333333333332,0.7854166666666667,73.4375
2025-10-10,Dwarka-Sector 8,176.375,64.75,239.66666666666666,2.6,48.465,25.488333333333333,0.5966666666666667,74.19791666666667
2025-10-10,ITO,108.70833333333333,65.24227272727273,124.515,10.665714285714285,69.73791666666666,,,
2025-10-10,Jahangirpuri,161.91666666666666,95.75,237.08333333333334,14.269583333333333,47.79833333333333,25.073333333333334,1.9,71.16666666666667
2025-10-10,Punjabi Bagh,160.375,69.95833333333333,214.83333333333334,10.79875,29.09125,25.026666666666667,0.32208333333333333,64.26041666666667
2025-10-10,R K Puram,146.83333333333334,87.03125,201.88541666666666,20.140416666666667,35.80375,20.356666666666666,0.5216666666666666,75.67708333333333
2025-10-11,Anand Vihar,260.4583333333333,90.79166666666667,348.1666666666667,16.985,29.600833333333334,24.46,0.3120833333333333,66.63541666666667
2025-10-11,Bawana,234.04166666666666,108.91666666666667,191.91666666666666,10.394583333333333,16.2525,28.3625,0.7679166666666667,73.89583333333333
2025-10-11,Dwarka-Sector 8,219.0,77.875,252.0,10.616666666666667,57.50958333333333,25.905833333333334,0.6179166666666667,74.53125
2025-10-11,ITO,174.66666666666666,79.04541666666667,114.52791666666667,11.6475,73.60166666666667,,,
