date,station_name,pm25,pm10,so2,no2,temp,wind_speed,humidity
2024-10-17,Anand Vihar,187.85714285714286,640.1875,27.24416666666667,90.29125,32.51958333333334,0.6429166666666667,54.71875
2024-10-17,Bawana,176.01041666666666,365.7826086956522,15.462083333333334,40.56333333333333,29.179166666666667,0.9956521739130435,57.052083333333336
2024-10-17,Dwarka-Sector 8,139.79166666666666,418.9166666666667,7.1075,81.09666666666666,29.688333333333333,0.6566666666666666,59.239583333333336
2024-10-17,ITO,113.61125,227.00708333333333,10.058333333333334,171.94625,,,
2024-10-17,Jahangirpuri,186.33333333333334,437.8333333333333,23.761666666666667,18.4275,29.107916666666668,0.31375,59.96875
2024-10-17,Punjabi Bagh,187.45833333333334,370.75,11.17125,59.114583333333336,31.644583333333333,0.31083333333333335,56.541666666666664
2024-10-17,R K Puram,130.5,296.375,28.5325,42.254583333333336,26.73875,0.30916666666666665,70.38541666666667
2024-10-18,Anand Vihar,204.1904761904762,633.1538461538462,17.55875,82.96041666666666,32.799166666666665,0.5595833333333333,54.822916666666664
2024-10-18,Bawana,211.6315789473684,443.5,14.855,52.71041666666667,29.2275,1.2191304347826086,57.864583333333336
2024-10-18,Dwarka-Sector 8,138.29166666666666,426.8333333333333,6.446666666666666,68.73875,29.597083333333334,0.6504166666666666,59.59375
2024-10-18,ITO,104.20458333333333,213.41,12.900454545454545,166.42125,,,
2024-10-18,Jahangirpuri,180.17391304347825,451.0869565217391,18.695,19.47125,29.1825,0.3575,61.03125
2024-10-18,Punjabi Bagh,145.875,316.6666666666667,20.15125,56.35375,31.837083333333332,0.35541666666666666,56.510416666666664
2024-10-18,R K Puram,135.83333333333334,274.875,31.53,34.25208333333333,26.699166666666667,0.31375,67.94791666666667
2024-10-19,Anand Vihar,191.77777777777777,632.4666666666667,20.432727272727274,89.80458333333333,33.105,0.6316666666666667,54.930416666666666
2024-10-19,Bawana,158.55208333333334,329.375,10.320416666666667,56.9225,29.62625,1.0447619047619048,57.677083333333336
