event,diwali_date,daytime_baseline_pm25,peak_pm25_timestamp,peak_pm25_ug_m3,pm25_surge_multiplier,daytime_baseline_so2,peak_so2_ug_m3,so2_surge_multiplier
Diwali 2024 Night,2024-10-31,108.85714285714286,2024-11-01 01:00:00,612.9285714285714,5.630577427821522,10.122857142857143,80.06428571428572,7.909257691222129
Diwali 2025 Night,2025-10-20,120.5,2025-10-21 00:00:00,960.6675,7.972344398340249,13.764285714285716,73.50285714285714,5.340114167099117
