date,station_name,aqi,pm25,temp,wind_speed,humidity
2025-09-06,Anand Vihar,98.47826086956522,56.80952380952381,27.16217391304348,0.7704347826086957,76.8913043478261
2025-09-06,Bawana,55.17391304347826,36.869565217391305,31.35608695652174,2.1756521739130434,79.09782608695652
2025-09-06,Dwarka-Sector 8,70.08695652173913,29.26086956521739,29.55782608695652,1.2765217391304349,75.32608695652173
2025-09-06,ITO,83.52173913043478,31.253478260869564,,,
2025-09-06,Jahangirpuri,122.6086956521739,65.52631578947368,27.295652173913044,1.2091304347826086,84.01086956521739
2025-09-06,Punjabi Bagh,113.3913043478261,30.217391304347824,34.286086956521736,0.7539130434782608,70.81521739130434
2025-09-06,R K Puram,59.47826086956522,37.34782608695652,27.79695652173913,1.4791304347826086,78.0
2025-09-07,Anand Vihar,100.875,47.90909090909091,26.562916666666666,0.70375,79.5
2025-09-07,Bawana,65.70833333333333,40.75,30.84958333333333,1.8829166666666668,81.27083333333333
2025-09-07,Dwarka-Sector 8,103.20833333333333,32.291666666666664,29.154166666666665,1.20625,77.46875
2025-09-07,ITO,87.33333333333333,29.208333333333332,,,
2025-09-07,Jahangirpuri,125.45833333333333,67.13636363636364,26.93875,1.16375,85.19791666666667
2025-09-07,Punjabi Bagh,109.79166666666667,26.956521739130434,29.50875,0.7854166666666667,72.67708333333333
2025-09-07,R K Puram,64.66666666666667,33.791666666666664,26.717916666666667,1.16,81.46875
2025-09-08,Anand Vihar,104.1304347826087,70.71428571428571,27.579565217391306,0.4182608695652174,72.17391304347827
2025-09-08,Bawana,82.91304347826087,39.81818181818182,31.570434782608697,0.9691304347826087,75.8913043478261
2025-09-08,Dwarka-Sector 8,131.91304347826087,28.782608695652176,29.742608695652173,0.7956521739130434,71.53260869565217
2025-09-08,ITO,89.69565217391305,33.33318181818182,,,
2025-09-08,Jahangirpuri,147.3913043478261,78.2,27.65304347826087,1.0952173913043477,78.84782608695652
2025-09-08,Punjabi Bagh,82.08695652173913,37.06666666666667,29.39090909090909,0.7672727272727272,67.7840909090909
2025-09-08,R K Puram,59.91304347826087,27.17391304347826,27.389130434782608,0.7243478260869565,77.27173913043478
2025-09-09,Anand Vihar,157.75,61.208333333333336,28.27625,0.3179166666666667,67.8575
2025-09-09,Bawana,96.20833333333333,34.083333333333336,32.19583333333333,1.1554166666666668,73.91666666666667
2025-09-09,Dwarka-Sector 8,175.83333333333334,21.875,29.819583333333334,0.8891666666666667,72.22916666666667
2025-09-09,ITO,88.5,29.899166666666666,,,
2025-09-09,Jahangirpuri,184.20833333333334,89.77272727272727,28.182083333333335,1.2520833333333332,75.10416666666667
2025-09-09,Punjabi Bagh,114.70833333333333,29.318181818181817,33.80041666666666,0.8729166666666667,64.55208333333333
2025-09-09,R K Puram,72.875,24.75,28.17625,0.8241666666666667,75.28125
2025-09-10,Anand Vihar,91.70833333333333,39.625,28.25625,0.44666666666666666,68.22583333333333
2025-09-10,Bawana,90.91666666666667,26.304347826086957,31.885416666666668,1.8033333333333332,75.4375
2025-09-10,Dwarka-Sector 8,112.04166666666667,19.458333333333332,29.689583333333335,1.1504166666666666,73.1875
2025-09-10,ITO,79.25,26.15625,,,
2025-09-10,Jahangirpuri,139.54166666666666,69.36363636363636,28.09875,1.38875,75.40625
2025-09-10,Punjabi Bagh,88.83333333333333,21.416666666666668,29.9525,1.2641666666666667,66.95833333333333
2025-09-10,R K Puram,69.54166666666667,28.78125,28.023333333333333,1.1358333333333333,76.59375
2025-09-11,Anand Vihar,100.66666666666667,53.75,27.804583333333333,0.41875,64.57291666666667
2025-09-11,Bawana,94.33333333333333,32.416666666666664,31.34625,1.5483333333333333,73.88541666666667
2025-09-11,Dwarka-Sector 8,108.95833333333333,21.458333333333332,29.2425,1.0604166666666668,70.88541666666667
2025-09-11,ITO,81.79166666666667,24.359545454545454,,,
2025-09-11,Jahangirpuri,174.45833333333334,96.0909090909091,27.825416666666666,1.4020833333333333,71.52416666666667
2025-09-11,Punjabi Bagh,97.125,29.954545454545453,30.36,1.1109090909090908,64.5
2025-09-11,R K Puram,85.16666666666667,30.59375,27.252916666666668,1.1904166666666667,73.16666666666667
2025-09-12,Anand Vihar,137.5,70.75,27.845416666666665,0.33791666666666664,64.77083333333333
2025-09-12,Bawana,95.08333333333333,34.791666666666664,31.59875,1.2441666666666666,72.36458333333333
2025-09-12,Dwarka-Sector 8,119.66666666666667,21.541666666666668,29.34375,0.8541666666666666,70.375
2025-09-12,ITO,82.125,24.485652173913042,,,
2025-09-12,Jahangirpuri,223.75,98.63636363636364,28.112083333333334,1.36,69.21541666666667
2025-09-12,Punjabi Bagh,105.20833333333333,23.166666666666668,28.7825,0.93875,61.041666666666664
2025-09-12,R K Puram,94.33333333333333,32.625,27.257916666666667,0.885,73.35416666666667
2025-09-13,Anand Vihar,203.20833333333334,81.41666666666667,28.442083333333333,0.30875,63.895833333333336
2025-09-13,Bawana,97.25,36.166666666666664,32.12875,0.9529166666666666,71.16666666666667
2025-09-13,Dwarka-Sector 8,124.04166666666667,26.083333333333332,29.864166666666666,0.7525,68.5625
2025-09-13,ITO,82.79166666666667,32.96047619047619,,,
