station_name,start_time,end_time,duration_hours,max_aqi,mean_aqi,start_month,start_year
Jahangirpuri,2025-11-08 11:30:00+00:00,2025-11-09 13:30:00+00:00,27,436.0,423.7,11,2025
R K Puram,2025-11-23 04:30:00+00:00,2025-11-24 05:30:00+00:00,26,407.0,404.4,11,2025
R K Puram,2025-01-09 18:30:00+00:00,2025-01-10 18:30:00+00:00,25,428.0,417.9,1,2025
Anand Vihar,2025-11-27 04:30:00+00:00,2025-11-28 04:30:00+00:00,25,420.0,411.8,11,2025
Anand Vihar,2025-10-22 12:30:00+00:00,2025-10-23 13:30:00+00:00,24,429.0,420.8,10,2025
ITO,2025-11-08 11:30:00+00:00,2025-11-09 10:30:00+00:00,24,422.0,417.0,11,2025
ITO,2025-12-30 18:30:00+00:00,2025-12-31 17:30:00+00:00,24,444.0,422.3,12,2025
R K Puram,2025-12-02 10:30:00+00:00,2025-12-03 09:30:00+00:00,24,428.0,418.2,12,2025
Punjabi Bagh,2025-10-21 11:30:00+00:00,2025-10-22 11:30:00+00:00,23,450.0,425.5,10,2025
Anand Vihar,2025-01-03 23:30:00+00:00,2025-01-04 22:30:00+00:00,23,480.0,459.2,1,2025
ITO,2025-11-23 14:30:00+00:00,2025-11-24 12:30:00+00:00,23,412.0,406.8,11,2025
Bawana,2025-01-15 06:30:00+00:00,2025-01-16 04:30:00+00:00,23,444.0,422.2,1,2025
Punjabi Bagh,2025-11-15 19:30:00+00:00,2025-11-16 16:30:00+00:00,22,412.0,406.2,11,2025
Anand Vihar,2025-12-02 06:30:00+00:00,2025-12-03 03:30:00+00:00,22,421.0,409.3,12,2025
Dwarka-Sector 8,2025-12-18 11:30:00+00:00,2025-12-19 08:30:00+00:00,22,442.0,422.9,12,2025
Dwarka-Sector 8,2025-12-30 21:30:00+00:00,2025-12-31 17:30:00+00:00,21,429.0,416.1,12,2025
Anand Vihar,2025-11-08 13:30:00+00:00,2025-11-09 09:30:00+00:00,21,416.0,410.7,11,2025
R K Puram,2025-11-15 00:30:00+00:00,2025-11-15 20:30:00+00:00,21,412.0,407.5,11,2025
R K Puram,2025-11-01 16:30:00+00:00,2025-11-02 11:30:00+00:00,20,426.0,416.0,11,2025
ITO,2025-12-27 07:30:00+00:00,2025-12-28 02:30:00+00:00,20,417.0,407.0,12,2025
Dwarka-Sector 8,2025-11-27 19:30:00+00:00,2025-11-28 14:30:00+00:00,20,422.0,412.9,11,2025
Jahangirpuri,2025-12-18 06:30:00+00:00,2025-12-19 01:30:00+00:00,20,419.0,409.4,12,2025
Dwarka-Sector 8,2025-12-27 09:30:00+00:00,2025-12-28 04:30:00+00:00,20,415.0,408.8,12,2025
Dwarka-Sector 8,2025-11-19 21:30:00+00:00,2025-11-20 16:30:00+00:00,19,419.0,411.3,11,2025
Bawana,2025-12-02 09:30:00+00:00,2025-12-03 03:30:00+00:00,19,440.0,420.3,12,2025
Dwarka-Sector 8,2025-01-04 11:30:00+00:00,2025-01-05 04:30:00+00:00,18,410.0,404.9,1,2025
R K Puram,2025-11-08 17:30:00+00:00,2025-11-09 10:30:00+00:00,18,423.0,414.6,11,2025
ITO,2025-01-09 13:30:00+00:00,2025-01-10 05:30:00+00:00,17,431.0,417.2,1,2025
Bawana,2025-12-26 09:30:00+00:00,2025-12-27 01:30:00+00:00,17,428.0,415.8,12,2025
Punjabi Bagh,2025-01-03 10:30:00+00:00,2025-01-04 03:30:00+00:00,17,435.0,411.9,1,2025
Jahangirpuri,2025-12-02 12:30:00+00:00,2025-12-03 04:30:00+00:00,17,415.0,408.2,12,2025
Punjabi Bagh,2025-11-15 00:30:00+00:00,2025-11-15 15:30:00+00:00,16,408.0,405.5,11,2025
Bawana,2025-11-01 19:30:00+00:00,2025-11-02 09:30:00+00:00,15,418.0,409.3,11,2025
Anand Vihar,2025-10-29 23:30:00+00:00,2025-10-30 12:30:00+00:00,14,414.0,408.1,10,2025
Anand Vihar,2025-01-31 13:30:00+00:00,2025-02-02 04:30:00+00:00,14,418.0,410.4,1,2025
ITO,2025-12-28 14:30:00+00:00,2025-12-29 03:30:00+00:00,14,413.0,405.6,12,2025
Jahangirpuri,2025-01-15 13:30:00+00:00,2025-01-16 02:30:00+00:00,14,488.0,445.2,1,2025
ITO,2025-11-19 12:30:00+00:00,2025-11-20 01:30:00+00:00,13,413.0,408.8,11,2025
Bawana,2025-10-30 05:30:00+00:00,2025-10-30 17:30:00+00:00,13,416.0,410.2,10,2025
Anand Vihar,2025-10-23 23:30:00+00:00,2025-10-24 10:30:00+00:00,12,425.0,409.2,10,2025
R K Puram,2025-01-15 06:30:00+00:00,2025-01-15 17:30:00+00:00,12,421.0,412.8,1,2025
Anand Vihar,2025-01-17 03:30:00+00:00,2025-01-17 14:30:00+00:00,12,418.0,406.8,1,2025
ITO,2025-12-30 01:30:00+00:00,2025-12-30 11:30:00+00:00,11,413.0,406.8,12,2025
Jahangirpuri,2025-10-20 21:30:00+00:00,2025-10-21 07:30:00+00:00,11,408.0,404.2,10,2025
Jahangirpuri,2025-11-03 16:30:00+00:00,2025-11-04 02:30:00+00:00,11,418.0,408.7,11,2025
ITO,2025-01-03 21:30:00+00:00,2025-01-04 08:30:00+00:00,11,405.0,402.5,1,2025
ITO,2025-12-29 09:30:00+00:00,2025-12-29 18:30:00+00:00,10,409.0,405.3,12,2025
Dwarka-Sector 8,2025-01-15 08:30:00+00:00,2025-01-15 17:30:00+00:00,10,415.0,409.3,1,2025
Dwarka-Sector 8,2025-11-02 00:30:00+00:00,2025-11-02 09:30:00+00:00,10,418.0,412.5,11,2025
Jahangirpuri,2025-10-30 05:30:00+00:00,2025-10-30 14:30:00+00:00,10,413.0,408.4,10,2025
Bawana,2025-12-16 01:30:00+00:00,2025-12-16 09:30:00+00:00,9,415.0,408.4,12,2025
Bawana,2025-12-18 12:30:00+00:00,2025-12-18 20:30:00+00:00,9,413.0,407.6,12,2025
Punjabi Bagh,2025-11-02 01:30:00+00:00,2025-11-02 09:30:00+00:00,9,410.0,406.4,11,2025
Dwarka-Sector 8,2025-11-23 21:30:00+00:00,2025-11-24 05:30:00+00:00,9,402.0,401.0,11,2025
R K Puram,2025-12-30 21:30:00+00:00,2025-12-31 05:30:00+00:00,9,412.0,406.2,12,2025
Anand Vihar,2025-01-29 12:30:00+00:00,2025-01-29 20:30:00+00:00,9,409.0,404.6,1,2025
Punjabi Bagh,2025-12-02 12:30:00+00:00,2025-12-02 19:30:00+00:00,8,412.0,408.2,12,2025
Jahangirpuri,2025-12-17 21:30:00+00:00,2025-12-18 04:30:00+00:00,8,405.0,402.9,12,2025
Bawana,2025-01-05 00:30:00+00:00,2025-01-05 07:30:00+00:00,8,412.0,408.1,1,2025
Jahangirpuri,2025-01-31 14:30:00+00:00,2025-01-31 21:30:00+00:00,8,414.0,406.4,1,2025
Jahangirpuri,2025-01-29 23:30:00+00:00,2025-01-30 06:30:00+00:00,8,409.0,405.1,1,2025
Dwarka-Sector 8,2025-01-19 06:30:00+00:00,2025-01-19 12:30:00+00:00,7,410.0,406.6,1,2025
Punjabi Bagh,2025-01-29 12:30:00+00:00,2025-01-29 18:30:00+00:00,7,407.0,404.7,1,2025
Jahangirpuri,2025-12-19 04:30:00+00:00,2025-12-19 10:30:00+00:00,7,402.0,400.7,12,2025
R K Puram,2025-12-31 11:30:00+00:00,2025-12-31 17:30:00+00:00,7,419.0,412.7,12,2025
Anand Vihar,2025-11-02 03:30:00+00:00,2025-11-02 08:30:00+00:00,6,405.0,402.5,11,2025
Bawana,2025-12-15 15:30:00+00:00,2025-12-15 20:30:00+00:00,6,407.0,404.5,12,2025
Jahangirpuri,2025-01-29 10:30:00+00:00,2025-01-29 15:30:00+00:00,6,407.0,403.7,1,2025
