station_name,Anand Vihar,Bawana,Dwarka-Sector 8,ITO,Jahangirpuri,Punjabi Bagh,R K Puram
Anand Vihar,1.0,0.938,0.954,0.922,0.945,0.945,0.944
Bawana,0.938,1.0,0.961,0.94,0.959,0.963,0.967
Dwarka-Sector 8,0.954,0.961,1.0,0.94,0.958,0.97,0.976
ITO,0.922,0.94,0.94,1.0,0.921,0.958,0.962
Jahangirpuri,0.945,0.959,0.958,0.921,1.0,0.953,0.957
Punjabi Bagh,0.945,0.963,0.97,0.958,0.953,1.0,0.976
R K Puram,0.944,0.967,0.976,0.962,0.957,0.976,1.0
