file_key,station_folder,data_type,filename,extension,file_size_bytes,n_sheets,n_rows,n_cols,read_error
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_December_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",.xlsx,8715,1,31,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_February_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",.xlsx,8468,1,28,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_January_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",.xlsx,8426,1,31,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_July_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",.xlsx,8546,1,31,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_June_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",.xlsx,8594,1,30,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_March_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",.xlsx,8618,1,31,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_May_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",.xlsx,8617,1,28,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_November_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",.xlsx,8668,1,30,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_October_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",.xlsx,8680,1,31,25,
"Punjabi Bagh, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_September_delhi_2025.xlsx","Punjabi Bagh, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_punjabi_bagh,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",.xlsx,8414,1,30,25,
"Punjabi Bagh, Delhi - DPCC/Raw Data/2024_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv","Punjabi Bagh, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",.csv,1008524,1,8784,25,
"Punjabi Bagh, Delhi - DPCC/Raw Data/2025_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv","Punjabi Bagh, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",.csv,1182282,1,8760,25,
"Punjabi Bagh, Delhi - DPCC/Raw Data/2026_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv","Punjabi Bagh, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_punjabi_bagh,_delhi_-_dpcc_1H.csv",.csv,634674,1,5088,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_April_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",.xlsx,8430,1,28,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_August_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",.xlsx,8602,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_December_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",.xlsx,8733,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_February_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",.xlsx,8409,1,28,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_January_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",.xlsx,8782,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_July_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",.xlsx,8601,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_June_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",.xlsx,8528,1,30,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_March_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",.xlsx,8645,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_May_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",.xlsx,8701,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_November_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",.xlsx,8641,1,30,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_October_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",.xlsx,8757,1,31,25,
"R K Puram, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_September_delhi_2025.xlsx","R K Puram, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_r_k_puram,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",.xlsx,8433,1,30,25,
"R K Puram, Delhi - DPCC/Raw Data/2024_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv","R K Puram, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",.csv,1098849,1,8784,25,
"R K Puram, Delhi - DPCC/Raw Data/2025_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv","R K Puram, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",.csv,1262375,1,8760,25,
"R K Puram, Delhi - DPCC/Raw Data/2026_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv","R K Puram, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_r_k_puram,_delhi_-_dpcc_1H.csv",.csv,669239,1,5088,25,
