file_key,sheet,station_folder,data_type,col_name,inferred_dtype,semantic_role,sample_values,n_total,n_missing,pct_missing,completely_empty
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,18:00:00,float,unknown,162.0 | 227.0 | 260.0,30,1,3.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,19:00:00,float,unknown,167.0 | 253.0 | 315.0,30,1,3.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,20:00:00,int,unknown,169 | 227 | 259,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,21:00:00,int,unknown,172 | 226 | 269,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,22:00:00,float,unknown,170.0 | 228.0 | 278.0,30,1,3.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,23:00:00,int,unknown,168 | 237 | 281,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,Date,int,timestamp,1 | 2 | 3,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,00:00:00,float,unknown,75.0 | 77.0 | 111.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,01:00:00,float,unknown,77.0 | 78.0 | 112.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,02:00:00,int,unknown,79 | 81 | 111,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,03:00:00,float,unknown,80.0 | 83.0 | 107.0,31,2,6.45,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,04:00:00,int,unknown,80 | 85 | 107,31,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,05:00:00,float,unknown,85.0 | 85.0 | 107.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,06:00:00,float,unknown,84.0 | 89.0 | 106.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,07:00:00,float,unknown,84.0 | 89.0 | 103.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,08:00:00,float,unknown,85.0 | 90.0 | 100.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,09:00:00,float,unknown,84.0 | 91.0 | 102.0,31,1,3.23,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,10:00:00,float,unknown,82.0 | 92.0 | 102.0,31,1,3.23,False
